Dataset,ave_n_neighbors,n_observations,n_features,n_classes,Endpoint,Imbalance,Task,Metadata,seed,n_neighbors,p,weight,score,
,,,,,,,,,,,,,,
breast,19,699,10,2,binary,0.1,classification,,1,19,1,d,0.6171,
,,,,,,,,,2,19,1,d,0.6171,
,,,,,,,,,3,19,1,d,0.6171,
,,,,,,,,,4,19,1,d,0.6171,
,,,,,,,,,5,19,1,d,0.6171,
,,,,,,,,,6,19,1,d,0.6171,
,,,,,,,,,7,19,1,d,0.6171,
,,,,,,,,,8,19,1,d,0.6171,
,,,,,,,,,9,19,1,d,0.6171,
,,,,,,,,,10,19,1,d,0.6171,
,,,,,,,,,,,,,,
buggyCrx,8,690,15,2,binary,0.01,classification,,1,8,1,d,0.682,
,,,,,,,,,2,8,1,d,0.682,
,,,,,,,,,3,8,1,d,0.682,
,,,,,,,,,4,8,1,d,0.682,
,,,,,,,,,5,8,1,d,0.682,
,,,,,,,,,6,8,1,d,0.682,
,,,,,,,,,7,8,1,d,0.682,
,,,,,,,,,8,8,1,d,0.682,
,,,,,,,,,9,8,1,d,0.682,
,,,,,,,,,10,8,1,d,0.682,
,,,,,,,,,,,,,,
bupa,24,345,5,2,binary,0,classification,,1,24,2,u,0.5057,
,,,,,,,,,2,24,2,u,0.5057,
,,,,,,,,,3,24,2,u,0.5057,
,,,,,,,,,4,24,2,u,0.5057,
,,,,,,,,,5,24,2,u,0.5057,
,,,,,,,,,6,24,2,u,0.5057,
,,,,,,,,,7,24,2,u,0.5057,
,,,,,,,,,8,24,2,u,0.5057,
,,,,,,,,,9,24,2,u,0.5057,
,,,,,,,,,10,24,2,u,0.5057,
,,,,,,,,,,,,,,
calendarDOW,16,399,32,5,categorical,0.01,classification,,1,16,1,d,0.59,
,,,,,,,,,2,16,1,d,0.59,
,,,,,,,,,3,16,1,d,0.59,
,,,,,,,,,4,16,1,d,0.59,
,,,,,,,,,5,16,1,d,0.59,
,,,,,,,,,6,16,1,d,0.59,
,,,,,,,,,7,16,1,d,0.59,
,,,,,,,,,8,16,1,d,0.59,
,,,,,,,,,9,16,1,d,0.59,
,,,,,,,,,10,16,1,d,0.59,
,,,,,,,,,,,,,,
cars,7,392,8,3,categorical,0.19,classification,,1,7,1,d,0.8061,
,,,,,,,,,2,7,1,d,0.8061,
,,,,,,,,,3,7,1,d,0.8061,
,,,,,,,,,4,7,1,d,0.8061,
,,,,,,,,,5,7,1,d,0.8061,
,,,,,,,,,6,7,1,d,0.8061,
,,,,,,,,,7,7,1,d,0.8061,
,,,,,,,,,8,7,1,d,0.8061,
,,,,,,,,,9,7,1,d,0.8061,
,,,,,,,,,10,7,1,d,0.8061,
,,,,,,,,,,,,,,
cars1,13,392,7,3,categorical,0.19,classification,,1,13,1,d,0.7551,
,,,,,,,,,2,13,1,d,0.7551,
,,,,,,,,,3,13,1,d,0.7551,
,,,,,,,,,4,13,1,d,0.7551,
,,,,,,,,,5,13,1,d,0.7551,
,,,,,,,,,6,13,1,d,0.7551,
,,,,,,,,,7,13,1,d,0.7551,
,,,,,,,,,8,13,1,d,0.7551,
,,,,,,,,,9,13,1,d,0.7551,
,,,,,,,,,10,13,1,d,0.7551,
,,,,,,,,,,,,,,
clean1,2,476,168,2,binary,0.02,classification,,1,2,2,u,0.8908,
,,,,,,,,,2,2,2,u,0.8908,
,,,,,,,,,3,2,2,u,0.8908,
,,,,,,,,,4,2,2,u,0.8908,
,,,,,,,,,5,2,2,u,0.8908,
,,,,,,,,,6,2,2,u,0.8908,
,,,,,,,,,7,2,2,u,0.8908,
,,,,,,,,,8,2,2,u,0.8908,
,,,,,,,,,9,2,2,u,0.8908,
,,,,,,,,,10,2,2,u,0.8908,
,,,,,,,,,,,,,,
cleve,5,303,13,2,binary,0.01,classification,,1,5,1,u,0.7105,
cleve,,,,,,,,,2,5,1,u,0.7105,
cleve,,,,,,,,,3,5,1,u,0.7105,
cleve,,,,,,,,,4,5,1,u,0.7105,
,,,,,,,,,5,5,1,u,0.7105,
,,,,,,,,,6,5,1,u,0.7105,
,,,,,,,,,7,5,1,u,0.7105,
,,,,,,,,,8,5,1,u,0.7105,
,,,,,,,,,9,5,1,u,0.7105,
,,,,,,,,,10,5,1,u,0.7105,
,,,,,,,,,,,,,,
cleveland_nominal,51.5,303,7,5,categorical,0.19,classification,,1,53,1,u,0.5658,
cleveland_nominal,,,,,,,,,2,41,1,u,0.5526,
cleveland_nominal,,,,,,,,,3,53,1,u,0.5658,
cleveland_nominal,,,,,,,,,4,60,1,u,0.5526,
,,,,,,,,,5,53,1,u,0.5658,
,,,,,,,,,6,41,1,u,0.5526,
,,,,,,,,,7,53,1,u,0.5658,
,,,,,,,,,8,60,1,u,0.5526,
,,,,,,,,,9,41,1,u,0.5526,
,,,,,,,,,10,60,1,u,0.5526,
,,,,,,,,,,,,,,
cleveland,27,303,13,5,categorical,0.19,classification,,1,27,2,u,0.5131,
cleveland,,,,,,,,,2,27,2,u,0.5131,
cleveland,,,,,,,,,3,27,2,u,0.5131,
cleveland,,,,,,,,,4,27,2,u,0.5131,
,,,,,,,,,5,27,2,u,0.5131,
,,,,,,,,,6,27,2,u,0.5131,
,,,,,,,,,7,27,2,u,0.5131,
,,,,,,,,,8,27,2,u,0.5131,
,,,,,,,,,9,27,2,u,0.5131,
,,,,,,,,,10,27,2,u,0.5131,
,,,,,,,,,,,,,,
cloud,1.6,108,7,4,categorical,0.01,classification,,1,2,2,d,0.8148,
cloud,,,,,,,,,2,1,2,d,0.8148,
cloud,,,,,,,,,3,2,2,d,0.8148,
cloud,,,,,,,,,4,2,2,d,0.8148,
,,,,,,,,,5,2,2,d,0.8148,
,,,,,,,,,6,1,2,d,0.8148,
,,,,,,,,,7,2,2,d,0.8148,
,,,,,,,,,8,2,2,d,0.8148,
,,,,,,,,,9,1,2,d,0.8148,
,,,,,,,,,10,1,2,d,0.8148,
,,,,,,,,,,,,,,
colic,32,368,22,2,binary,0.07,classification,,1,32,1,d,0.7065,
colic,,,,,,,,,2,32,1,d,0.7065,
colic,,,,,,,,,3,32,1,d,0.7065,
colic,,,,,,,,,4,32,1,d,0.7065,
,,,,,,,,,5,32,1,d,0.7065,
,,,,,,,,,6,32,1,d,0.7065,
,,,,,,,,,7,32,1,d,0.7065,
,,,,,,,,,8,32,1,d,0.7065,
,,,,,,,,,9,32,1,d,0.7065,
,,,,,,,,,10,32,1,d,0.7065,
,,,,,,,,,,,,,,
collins,10.4,485,23,13,categorical,0.02,classification,,1,10,1,d,0.9836,
collins,,,,,,,,,2,10,1,d,0.9836,
collins,,,,,,,,,3,10,1,d,0.9836,
collins,,,,,,,,,4,12,1,d,0.9836,
,,,,,,,,,5,10,1,d,0.9836,
,,,,,,,,,6,10,1,d,0.9836,
,,,,,,,,,7,10,1,d,0.9836,
,,,,,,,,,8,12,1,d,0.9836,
,,,,,,,,,9,10,1,d,0.9836,
,,,,,,,,,10,10,1,d,0.9836,
,,,,,,,,,,,,,,
confidence,2,72,3,6,categorical,0,classification,,1,2,2,u,0.8333,
confidence,,,,,,,,,2,2,2,u,0.8333,
confidence,,,,,,,,,3,2,2,u,0.8333,
confidence,,,,,,,,,4,2,2,u,0.8333,
,,,,,,,,,5,2,2,u,0.8333,
,,,,,,,,,6,2,2,u,0.8333,
,,,,,,,,,7,2,2,u,0.8333,
,,,,,,,,,8,2,2,u,0.8333,
,,,,,,,,,9,2,2,u,0.8333,
,,,,,,,,,10,2,2,u,0.8333,
,,,,,,,,,,,,,,
corral,13.7,160,6,2,binary,0.02,classification,,1,17,2,d,1,
corral,,,,,,,,,2,17,1,d,1,
corral,,,,,,,,,3,17,2,d,1,
corral,,,,,,,,,4,6,1,d,0.975,
,,,,,,,,,5,17,2,d,1,
,,,,,,,,,6,17,1,d,1,
,,,,,,,,,7,17,2,d,1,
,,,,,,,,,8,6,1,d,0.975,
,,,,,,,,,9,6,2,d,0.975,
,,,,,,,,,10,17,1,d,1,
,,,,,,,,,,,,,,
credit_a,22,690,15,2,binary,0.01,classification,,1,22,1,d,0.6879,
credit_a,,,,,,,,,2,22,1,d,0.6879,
